ID_REF,GSM701542,GSM701543,GSM701544,GSM701545,no mutation,mutation,log 2 fold change,fold change
1552362_a_at,47.338947,61.7492,51.19408,53.04185,54.5440735,52.117965,-0.06564169519,0.955520218
1552364_s_at,36.46609,70.94857,48.904945,37.000263,53.70733,42.952604,-0.322373404,0.7997531063
1552365_at,39.068302,41.390198,16.298433,22.641706,40.22925,19.4700695,-1.046986808,0.4839779389
1552367_a_at,1.7514199,16.98211,4.3029633,0.5665972,9.36676495,2.43478025,-1.943759294,0.2599382245
1552368_at,4.667957,32.612793,5.859237,4.9121456,18.640375,5.3856913,-1.79122744,0.2889261241
1552370_at,42.168594,87.141655,43.278923,31.276108,64.6551245,37.2775155,-0.7944590118,0.5765593337
1552372_at,0.3128255,0.0655943,0.2321142,7.964711,0.1892099,4.0984126,4.437005751,21.6606668
1552373_s_at,1.4466387,3.9624252,9.686127,3.2341948,2.70453195,6.4601609,1.256191157,2.388642848
1552375_at,17.587173,12.041022,13.956198,1.7383844,14.8140975,7.8472912,-0.9167040952,0.5297178043
1552377_s_at,83.343575,68.783516,59.658344,76.27032,76.0635455,67.964332,-0.1624273761,0.8935204315
1552378_s_at,12.347179,3.986581,7.669454,2.8359854,8.16688,5.2527197,-0.6367204294,0.6431733661
1552379_at,5.2411723,0.45461127,3.7835095,0.18670039,2.847891785,1.985104945,-0.5206790482,0.6970436712
1552381_at,73.91473,93.619804,66.333305,52.54862,83.767267,59.4409625,-0.4949291278,0.7095965361
1552383_at,37.197865,29.977446,24.787703,40.04521,33.5876555,32.4164565,-0.05120469953,0.9651300758
1552384_a_at,24.582443,8.842859,25.459146,16.653484,16.712651,21.056315,0.3333123817,1.259902753
1552386_at,9.774689,2.058049,8.17862,6.5496483,5.916369,7.36413415,0.3158038729,1.244705012
1552388_at,4.77734,6.610906,7.3060927,3.0483675,5.694123,5.1772301,-0.1372932177,0.9092234397
1552389_at,45.44338,36.951,39.82901,66.97363,41.19719,53.40132,0.3743294669,1.296236952
1552390_a_at,121.69732,98.85595,110.60028,126.404625,110.276635,118.5024525,0.1037897666,1.074592569
1552391_at,3.2825186,16.92924,6.89914,2.2505941,10.1058793,4.57486705,-1.143393131,0.4526936167
1552393_at,9.851049,5.268718,2.2211668,6.9309297,7.5598835,4.57604825,-0.7242617382,0.6053067154
1552394_a_at,0.8982174,6.9297786,0.42025107,0.3648868,3.913998,0.392568935,-3.317625101,0.1002987061
1552395_at,9.925465,19.163721,13.188781,7.779383,14.544593,10.484082,-0.4722823835,0.7208233328
1552396_at,4.882693,11.377901,7.7000513,7.3032017,8.130297,7.5016265,-0.1161046208,0.92267558
1552398_a_at,0.5150485,1.7105353,9.349955,1.3331245,1.1127919,5.34153975,2.263071849,4.800124579
1552399_a_at,11.758959,16.89953,7.4300313,5.9276295,14.3292445,6.6788304,-1.101295162,0.4660978742
1552400_a_at,57.943024,28.028278,29.925514,28.265308,42.985651,29.095411,-0.5630635298,0.6768633328
1552401_a_at,15.943749,0.28797844,6.6785054,0.9288853,8.11586372,3.80369535,-1.093342939,0.4686741278
1552402_at,21.16166,19.534952,1.4568243,9.688186,20.348306,5.57250515,-1.868510745,0.2738559736
1552405_at,5.385751,21.101433,17.465584,20.16671,13.243592,18.816147,0.5066767654,1.420773684
1552408_at,17.925026,13.521105,8.648484,0.9843347,15.7230655,4.81640935,-1.706852607,0.3063276274
1552409_a_at,7.1077766,9.727344,4.3787923,8.159181,8.4175603,6.26898665,-0.4251698935,0.7447510236
1552410_at,22.145712,14.238096,18.15447,18.240032,18.191904,18.197251,0.0004239774427,1.000293922
1552411_at,94.70121,74.18152,54.64355,131.11765,84.441365,92.8806,0.1374273918,1.099941954
1552412_a_at,1.4673824,2.1399395,0.6984322,7.1933165,1.80366095,3.94587435,1.129416848,2.187702933
1552414_at,26.599476,9.89825,15.628686,8.34675,18.248863,11.987718,-0.606249528,0.6569021862
1552415_a_at,21.320175,30.856125,7.621507,14.583693,26.08815,11.1026,-1.232497076,0.4255801964
1552417_a_at,118.68502,89.30007,121.63491,71.656555,103.992545,96.6457325,-0.1057021732,0.9293525079
1552418_at,1.1556717,1.907827,1.3778863,1.3568242,1.53174935,1.36735525,-0.1637921236,0.8926755869
1552419_s_at,22.82342,9.587854,29.693113,6.6666074,16.205637,18.1798602,0.1658453753,1.12182324
1552421_a_at,2.6896763,24.106464,4.71916,4.61217,13.39807015,4.665665,-1.521870582,0.3482341074
1552422_at,42.9416,37.330894,35.0375,23.684288,40.136247,29.360894,-0.4510098247,0.7315306287
1552423_at,84.08819,45.895927,31.481155,25.166494,64.9920585,28.3238245,-1.198247361,0.4358043914
1552424_at,0.6653567,6.8462687,0.3822342,1.5371612,3.7558127,0.9596977,-1.968473178,0.2555233119
1552425_a_at,33.32931,24.649004,24.784296,29.498444,28.989157,27.14137,-0.09501983595,0.9362593745
1552426_a_at,824.4702,868.5939,957.1373,530.73206,846.53205,743.93468,-0.1863887367,0.878802734
1552427_at,53.853687,101.87496,117.21908,59.88409,77.8643235,88.551585,0.1855556762,1.13725492
1552430_at,25.167576,48.66479,13.335236,12.817551,36.916183,13.0763935,-1.497288694,0.3542184602
1552432_at,6.447216,10.420089,15.263224,6.315,8.4336525,10.789112,0.3553466452,1.279292928
1552436_a_at,22.580067,7.611067,4.561989,10.245306,15.095567,7.4036475,-1.027816834,0.4904517664
1552438_a_at,14.4715,10.281588,8.567634,13.248536,12.376544,10.908085,-0.1822106682,0.88135145
1552439_s_at,2.1291797,13.103497,1.6798677,1.2989162,7.61633835,1.48939195,-2.354374106,0.1955522302
1552440_at,10.404925,2.522487,3.2834728,2.0513442,6.463706,2.6674085,-1.276922796,0.4126747875
1552445_a_at,28.968449,16.71434,9.535067,20.734152,22.8413945,15.1346095,-0.5937992805,0.6625956878
1552448_a_at,8.272686,2.1985946,2.1477551,2.5385294,5.2356403,2.34314225,-1.159921443,0.4475369039
1552449_a_at,1.992106,0.6924183,0.48531768,1.8828185,1.34226215,1.18406809,-0.1809144183,0.882143693
1552450_a_at,9.897854,3.4056466,5.176582,4.110506,6.6517503,4.643544,-0.5185077071,0.6980935529
1552452_at,1.4343042,2.578308,0.75170755,16.20309,2.0063061,8.477398775,2.07907992,4.225376564
1552453_a_at,1.2773346,2.3060963,1.3867456,2.2921195,1.79171545,1.83943255,0.0379192402,1.026632075
1552455_at,257.18512,61.255016,58.544407,37.83428,159.220068,48.1893435,-1.724236132,0.3026587296
1552456_a_at,49.306923,3.0804968,3.5164506,2.6998456,26.1937099,3.1081481,-3.075093254,0.1186600948
1552457_a_at,2.720273,11.007582,0.9904805,2.002361,6.8639275,1.49642075,-2.197518438,0.2180123187
1552458_at,11.922584,11.791247,10.851189,4.0970244,11.8569155,7.4741067,-0.6657556861,0.6303584351
1552459_a_at,2.7742238,10.282691,3.85438,10.489461,6.5284574,7.1719205,0.1356173565,1.098562809
1552461_at,22.561901,15.304801,6.3150764,15.216829,18.933351,10.7659527,-0.8144537832,0.5686237317
1552463_at,2.307162,12.781706,10.871392,1.8532434,7.544434,6.3623177,-0.2458602565,0.8433127919
1552466_x_at,0.9542737,1.2693001,2.917375,0.25247747,1.1117869,1.584926235,0.5115354083,1.425566568
1552467_at,13.019657,28.995567,27.210829,6.8892198,21.007612,17.0500244,-0.3011383719,0.8116117339
1552468_a_at,59.01824,40.52078,39.129906,30.82252,49.76951,34.976213,-0.5088880912,0.7027638608
1552470_a_at,9.57705,15.871275,22.142456,19.898018,12.7241625,21.020237,0.7242082338,1.651993756
1552472_a_at,218.95078,167.07596,150.52388,78.86524,193.01337,114.69456,-0.7509038207,0.5942311665
1552473_at,161.58855,173.62659,98.39977,123.37943,167.60757,110.8896,-0.595963244,0.6616025756
1552474_a_at,222.12317,143.42935,98.4956,106.26285,182.77626,102.379225,-0.8361557069,0.5601341498
1552476_s_at,14.811471,6.3684354,5.3984103,31.0265,10.5899532,18.21245515,0.7822292058,1.719786179
1552477_a_at,59.502754,61.54514,24.880651,39.987915,60.523947,32.434283,-0.8999865277,0.5358917355
1552478_a_at,7.953898,9.49993,10.322638,12.489185,8.726914,11.4059115,0.3862382586,1.306981082
1552480_s_at,0.5161454,0.40462556,0.15308693,2.0441213,0.46038548,1.098604115,1.254757362,2.386270121
1552481_s_at,15.990693,15.057969,24.953743,8.392832,15.524331,16.6732875,0.1030074922,1.074010049
1552482_at,65.03953,40.25069,31.994427,12.870711,52.64511,22.432569,-1.230704682,0.4261092626
1552484_at,31.99007,7.528574,34.821598,38.443226,19.759322,36.632412,0.8905872513,1.853930616
1552485_at,80.8593,159.7876,144.29169,68.61549,120.32345,106.45359,-0.1766932352,0.884728538
1552486_s_at,161.49501,199.65674,120.8566,103.41812,180.575875,112.13736,-0.6873381505,0.6209985692
1552487_a_at,36.92756,13.849803,21.095694,10.35226,25.3886815,15.723977,-0.6912193154,0.6193301925
1552489_s_at,0.7101863,5.0663223,4.1277533,5.297821,2.8882543,4.71278715,0.7063827527,1.631707828
1552490_at,23.536392,36.429157,34.12709,14.024813,29.9827745,24.0759515,-0.3165410758,0.8029927817
1552491_at,27.779772,14.485785,16.970758,15.772825,21.1327785,16.3717915,-0.3682702639,0.7747107887
1552493_s_at,2.9740477,3.1987505,1.7853571,5.215295,3.0863991,3.50032605,0.1815646853,1.134113229
1552494_at,2.8227444,2.7591283,0.817903,2.153497,2.79093635,1.4857,-0.9096063937,0.5323303056
1552496_a_at,137.77899,135.23634,87.58095,96.0877,136.507665,91.834325,-0.5718765647,0.6727411607
1552497_a_at,35.32206,18.982647,13.232519,16.969513,27.1523535,15.101016,-0.8464316351,0.5561586402
1552498_at,17.860552,12.622551,14.096404,22.14512,15.2415515,18.120762,0.2496338556,1.188905342
1552499_a_at,6.8820295,27.174376,22.437117,17.835068,17.02820275,20.1360925,0.2418575759,1.182514256
1552501_a_at,5.094765,3.785021,7.742023,10.07934,4.439893,8.9106815,1.005010867,2.006958614
1552502_s_at,14.032575,19.614725,15.715778,11.07819,16.82365,13.396984,-0.3285824915,0.7963185159
1552503_at,60.565945,75.34706,50.09776,76.22468,67.9565025,63.16122,-0.1055725656,0.9294360021
1552504_a_at,5.823859,1.6339747,10.831312,8.639495,3.72891685,9.7354035,1.384484148,2.610785891
1552506_at,9.246452,8.21856,10.613537,9.700029,8.732506,10.156783,0.2179758897,1.163100604
1552507_at,26.049765,17.594324,6.8652983,5.306927,21.8220445,6.08611265,-1.842193331,0.2788974539
1552508_at,1.5380783,1.4057541,6.2165694,8.837927,1.4719162,7.5272482,2.354427006,5.113910833
1552509_a_at,11.1503315,5.6166153,0.90756226,4.6483345,8.3834734,2.77794838,-1.593528307,0.3313600756
1552510_at,107.77507,98.49202,72.40331,117.2681,103.133545,94.835705,-0.1210114256,0.9195427637
1552511_a_at,9.775227,1.7614976,0.75779986,12.85263,5.7683623,6.80521493,0.2384789469,1.179748181
1552514_at,0.6474426,1.7392157,1.1616246,1.8710309,1.19332915,1.51632775,0.3455895924,1.270670167
1552515_at,16.708525,22.664871,7.7210293,6.5288486,19.686698,7.12493895,-1.466271594,0.3619164042
1552516_a_at,23.482172,15.130863,15.526005,26.068058,19.3065175,20.7970315,0.1072896624,1.077202634
1552518_s_at,59.363914,74.66285,40.353527,35.122025,67.013382,37.737776,-0.8284398151,0.5631379118
1552519_at,88.42343,60.018734,16.861542,23.266012,74.221082,20.063777,-1.887235814,0.2703245016
1552520_at,39.900715,131.48752,94.657776,91.74523,85.6941175,93.201503,0.121157047,1.087606778
1552521_a_at,31.600624,97.71211,74.71815,45.448906,64.656367,60.083528,-0.1058229178,0.9292747302
1552522_at,17.021816,18.425238,10.547406,14.12598,17.723527,12.336693,-0.5227100158,0.6960630917
1552523_a_at,36.18754,34.59597,30.801672,5.1926727,35.391755,17.99717235,-0.9756430503,0.5085131367
1552524_at,29.0096,49.518074,4.1285305,18.668407,39.263837,11.39846875,-1.784361137,0.2903045046
1552526_at,2.6061015,1.1629493,1.9649894,10.33179,1.8845254,6.1483897,1.706007369,3.262566639
1552528_at,66.475876,46.88762,28.435925,83.347626,56.681748,55.8917755,-0.02024824454,0.986063018
1552531_a_at,29.244364,16.758278,10.360537,4.8584123,23.001321,7.60947465,-1.59584796,0.3308277229
1552532_a_at,2.8562078,2.5937865,2.8364077,1.9345709,2.72499715,2.3854893,-0.1919695058,0.875409833
1552535_at,12.31173,47.52406,34.999836,23.787962,29.917895,29.393899,-0.02549193165,0.9824855325
1552536_at,39.15371,9.5505705,11.918594,2.2078078,24.35214025,7.0632009,-1.785654536,0.2900443586
1552538_a_at,2.5142214,4.6000657,1.7284231,12.0036745,3.55714355,6.8660488,0.9487609151,1.930214146
1552540_s_at,22.563265,62.750942,25.218987,26.174606,42.6571035,25.6967965,-0.7311974907,0.6024036888
1552541_at,56.62464,14.549038,8.202973,20.137922,35.586839,14.1704475,-1.328458472,0.3981934866
1552542_s_at,12.551841,7.104085,13.818802,2.9913058,9.827963,8.4050539,-0.2256353551,0.8552183092
1552543_a_at,16.89771,6.3012476,20.710098,5.931403,11.5994788,13.3207505,0.199615385,1.148392159
1552544_at,11.045793,17.756727,9.75839,15.195944,14.40126,12.477167,-0.2069046413,0.8663941211
1552546_a_at,14.255149,3.355518,9.914026,5.509319,8.8053335,7.7116725,-0.1913338625,0.8757956186
1552548_at,20.810442,13.797238,9.301372,14.151826,17.30384,11.726599,-0.5613075733,0.6776876693
1552549_a_at,27.319012,35.004486,15.876936,14.282998,31.161749,15.079967,-1.047142938,0.4839255653
1552552_s_at,12.529255,0.73706913,4.6969438,13.64196,6.633162065,9.1694519,0.4671387249,1.382365124
1552553_a_at,5.2626987,0.7224357,9.022445,4.881832,2.9925672,6.9521385,1.21607318,2.3231353
1552554_a_at,7.0586963,2.207792,1.5642648,2.840257,4.63324415,2.2022609,-1.073037314,0.4753172569
1552555_at,30.74387,27.03992,43.02798,5.8329134,28.891895,24.4304467,-0.2419845895,0.8455813196
1552557_a_at,239.40593,92.555176,102.65979,84.657745,165.980553,93.6587675,-0.8255282609,0.564275548
1552558_a_at,48.137836,30.713472,39.256676,22.49612,39.425654,30.876398,-0.3526302274,0.7831549985
1552559_a_at,5.4140615,2.4348328,2.3268843,3.7011828,3.92444715,3.01403355,-0.380793955,0.7680148145
1552562_at,24.064846,46.42779,35.989666,19.17393,35.246318,27.581798,-0.3537560483,0.7825440944
1552563_a_at,87.382744,61.09165,43.28795,20.574165,74.237197,31.9310575,-1.217181906,0.4301220788
1552564_at,6.6254296,1.1434476,4.651241,6.217084,3.8844386,5.4341625,0.4843516001,1.398956982
1552566_at,1.723346,0.76232404,0.8710849,0.673474,1.24283502,0.77227945,-0.6864399112,0.6213853308
1552568_at,1.31564,1.1871394,0.9228471,1.4116063,1.2513897,1.1672267,-0.1004463446,0.9327443721
1552569_a_at,22.953121,14.120939,26.958359,12.470974,18.53703,19.7146665,0.08885919142,1.063528866
1552570_at,13.116574,8.789083,1.3371099,6.5470433,10.9528285,3.9420766,-1.47427577,0.3599140259
1552572_a_at,24.420528,25.581453,32.163666,24.16933,25.0009905,28.166498,0.1719949482,1.126615284
1552573_s_at,27.479101,60.141415,21.855255,35.666233,43.810258,28.760744,-0.607167714,0.6564842417
1552575_a_at,24.898758,80.14288,122.57853,65.59695,52.520819,94.08774,0.8411173329,1.79143703
1552576_at,4.4482474,26.254448,27.440094,24.709496,15.3513477,26.074795,0.7642905945,1.698534585
1552578_a_at,1.3927581,2.195102,9.790201,3.0208323,1.79393005,6.40551665,1.836191302,3.570661325
1552579_a_at,28.729092,18.348787,12.533194,10.460901,23.5389395,11.4970475,-1.033785907,0.4884267407
1552580_at,396.49918,215.44415,117.52628,116.01355,305.971665,116.769915,-1.389729435,0.3816363682
